iter	Passed	Remaining
0	0	48
1	0	44
2	1	42
3	1	38
4	2	38
5	2	39
6	2	39
7	3	38
8	3	37
9	4	37
10	4	37
11	4	36
12	5	36
13	6	40
14	7	39
15	7	38
16	7	38
17	8	37
18	9	38
19	10	40
20	10	39
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	14	37
27	14	37
28	14	36
29	15	35
30	15	34
31	16	35
32	20	42
33	21	41
34	21	40
35	22	39
36	22	38
37	22	37
38	23	36
39	23	35
40	24	35
41	24	33
42	24	33
43	25	32
44	25	31
45	26	31
46	27	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	39	17
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	41	13
76	42	12
77	42	11
78	42	11
79	43	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	7
85	45	7
86	45	6
87	46	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	49	1
97	49	1
98	50	0
99	50	0
