iter	Passed	Remaining
0	60	60168
1	60	30294
2	61	20322
3	61	15334
4	62	12344
5	62	10350
6	62	8920
7	63	7849
8	63	7016
9	64	6348
10	64	5819
11	65	5371
12	65	4990
13	66	4661
14	66	4380
15	67	4130
16	67	3907
17	68	3710
18	68	3539
19	68	3379
20	69	3237
21	69	3106
22	70	2987
23	70	2877
24	71	2783
25	71	2692
26	72	2603
27	72	2522
28	73	2445
29	73	2382
30	74	2316
31	74	2255
32	75	2199
33	75	2148
34	76	2095
35	76	2046
36	76	2001
37	77	1955
38	77	1912
39	77	1871
40	78	1834
41	78	1797
42	79	1762
43	79	1728
44	79	1697
45	80	1668
46	80	1640
47	81	1612
48	81	1586
49	82	1560
50	82	1535
51	82	1511
52	83	1487
53	83	1464
54	84	1443
55	84	1422
56	84	1402
57	85	1384
58	85	1366
59	86	1348
60	86	1331
61	86	1314
62	87	1298
63	87	1283
64	88	1269
65	88	1257
66	89	1242
67	89	1229
68	90	1215
69	90	1202
70	90	1188
71	91	1175
72	91	1163
73	91	1151
74	92	1139
75	92	1127
76	93	1116
77	93	1106
78	93	1095
79	94	1085
80	94	1075
81	95	1065
82	95	1053
83	95	1044
84	96	1035
85	96	1026
86	96	1017
87	97	1008
88	97	999
89	97	990
90	98	982
91	98	975
92	99	966
93	99	958
94	99	951
95	100	943
96	100	936
97	100	928
98	101	921
99	101	915
100	102	908
101	102	902
102	102	896
103	103	889
104	103	883
105	103	877
106	104	871
107	104	865
108	105	860
109	105	854
110	106	849
111	106	843
112	106	838
113	107	832
114	107	827
115	107	821
116	108	815
117	108	810
118	108	806
119	109	801
120	109	796
121	109	791
122	110	786
123	110	781
124	111	777
125	111	772
126	111	767
127	112	763
128	112	759
129	112	755
130	113	750
131	113	747
132	113	743
133	114	738
134	114	734
135	115	730
136	115	726
137	115	723
138	116	720
139	116	717
140	117	715
141	117	711
142	118	710
143	119	708
144	119	705
145	120	702
146	120	698
147	120	695
148	121	691
149	121	688
150	121	684
151	122	681
152	122	678
153	122	675
154	123	672
155	123	670
156	124	667
157	124	664
158	124	660
159	125	657
160	125	654
161	125	651
162	126	648
163	126	645
164	126	642
165	127	639
166	127	636
167	127	633
168	128	630
169	128	628
170	129	625
171	129	622
172	129	621
173	130	619
174	130	616
175	131	614
176	131	611
177	132	609
178	132	607
179	132	605
180	133	603
181	133	601
182	134	598
183	134	595
184	134	593
185	135	591
186	135	588
187	135	585
188	135	583
189	136	581
190	136	579
191	137	577
192	137	575
193	138	573
194	138	571
195	138	569
196	139	566
197	139	564
198	139	562
199	140	560
200	140	558
201	140	556
202	141	554
203	141	551
204	141	549
205	142	547
206	142	545
207	142	543
208	143	541
209	143	539
210	143	538
211	144	536
212	144	535
213	145	533
214	145	531
215	145	529
216	146	527
217	146	526
218	147	525
219	147	523
220	148	521
221	148	520
222	148	518
223	149	517
224	149	515
225	150	513
226	150	512
227	150	510
228	151	510
229	151	508
230	152	506
231	152	505
232	152	503
233	153	502
234	153	500
235	154	499
236	154	497
237	154	496
238	155	494
239	155	492
240	155	491
241	156	489
242	156	488
243	157	486
244	157	484
245	157	483
246	158	483
247	158	481
248	159	480
249	159	478
250	160	478
251	161	480
252	162	479
253	163	479
254	163	478
255	164	477
256	164	476
257	165	476
258	166	475
259	166	474
260	167	473
261	167	472
262	168	471
263	168	470
264	169	470
265	169	468
266	170	467
267	171	467
268	171	466
